D, [2017-07-23T22:01:09.170075 #7320] DEBUG -- : MONGODB | Topology type 'unknown' initializing.
D, [2017-07-23T22:01:09.170575 #7320] DEBUG -- : MONGODB | Server 127.0.0.1:27017 initializing.
D, [2017-07-23T22:01:09.185077 #7320] DEBUG -- : MONGODB | Topology type 'unknown' changed to type 'single'.
D, [2017-07-23T22:01:09.185577 #7320] DEBUG -- : MONGODB | Server description for 127.0.0.1:27017 changed from 'unknown' to 'standalone'.
D, [2017-07-23T22:01:09.185577 #7320] DEBUG -- : MONGODB | There was a change in the members of the 'single' topology.
D, [2017-07-23T22:01:30.374568 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.insert | STARTED | {"insert"=>"characters (SSF Hardcore)", "documents"=>[{"equipment"=>{"items"=>[{"verified"=>false, "w"=>1, "h"=>3, "ilvl"=>59, "icon"=>"https://web.poecdn.com/image/Art/2DItems/Weapons/OneHandWeapons/Wands/Wand3.png?scale=1&w=1&h=3&v=ac9f7eee09f5a8f58...
D, [2017-07-23T22:01:30.386578 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.insert | SUCCEEDED | 0.01251s
D, [2017-07-23T22:01:30.387569 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.count | STARTED | {"count"=>"characters (SSF Hardcore)", "query"=>{}}
D, [2017-07-23T22:01:30.398602 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.count | SUCCEEDED | 0.011033s
D, [2017-07-23T22:01:30.399571 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.drop | STARTED | {"drop"=>"characters (Legacy)"}
D, [2017-07-23T22:01:30.410073 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.drop | FAILED | ns not found (26) | 0.011002s
D, [2017-07-23T22:01:35.933096 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.count | STARTED | {"count"=>"characters (Legacy)", "query"=>{}}
D, [2017-07-23T22:01:35.944098 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.count | SUCCEEDED | 0.011002s
D, [2017-07-23T22:01:35.945097 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.drop | STARTED | {"drop"=>"characters (Hardcore Legacy)"}
D, [2017-07-23T22:01:35.956100 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.drop | SUCCEEDED | 0.010502s
D, [2017-07-23T22:01:41.536468 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.insert | STARTED | {"insert"=>"characters (Hardcore Legacy)", "documents"=>[{"equipment"=>{"items"=>[{"verified"=>false, "w"=>2, "h"=>1, "ilvl"=>69, "icon"=>"https://web.poecdn.com/image/Art/2DItems/Belts/Headhunter.png?scale=1&w=2&h=1&v=00b786d294eb957cf1e02b8d95f55425...
D, [2017-07-23T22:01:41.564626 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.insert | SUCCEEDED | 0.027645s
D, [2017-07-23T22:01:41.566106 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.count | STARTED | {"count"=>"characters (Hardcore Legacy)", "query"=>{}}
D, [2017-07-23T22:01:41.577184 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.count | SUCCEEDED | 0.011078s
D, [2017-07-23T22:01:41.578683 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.drop | STARTED | {"drop"=>"characters (SSF Legacy)"}
D, [2017-07-23T22:01:41.589697 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.drop | SUCCEEDED | 0.011515s
D, [2017-07-23T22:01:45.408508 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.insert | STARTED | {"insert"=>"characters (SSF Legacy)", "documents"=>[{"equipment"=>{"items"=>[{"verified"=>false, "w"=>2, "h"=>2, "ilvl"=>75, "icon"=>"https://web.poecdn.com/image/Art/2DItems/Armours/Gloves/SadimasTouch.png?scale=1&w=2&h=2&relic=1&v=cb90ee55ca2ea5dda2...
D, [2017-07-23T22:01:45.430010 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.insert | SUCCEEDED | 0.021001s
D, [2017-07-23T22:01:45.431510 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.count | STARTED | {"count"=>"characters (SSF Legacy)", "query"=>{}}
D, [2017-07-23T22:01:45.442512 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.count | SUCCEEDED | 0.010502s
